id,title,skills1
48,Sales Director,"['Visual Basic', 'Director level', 'E-Commerce', 'PHP', 'Field Technicians']"
49,Editor,"['AutoCAD', 'Search Engine Optimization (SEO)', 'Content Editing', 'PHP', 'WordPress']"
50,Senior Manager,"['Software Infrastructure', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians', 'Management Professional']"
51,Researcher,"['Software Infrastructure', 'Scholarly Research', 'Engineering', 'Field Technicians', 'Investigative Research']"
52,Attorney,"['Field Technicians', 'Technical Maintenance', 'Legal Practice', 'Construction', 'Software Design']"
54,Student,"['Software Infrastructure', 'Computer-Aided Design (CAD)', 'Engineering', 'Student Services', 'Field Technicians']"
108,Production Manager,"['PHP', 'Production Management', 'Field Technicians', 'Technical Maintenance', 'SOLIDWORKS']"
109,Network Engineer,"['Network Services', 'Computer Networking', 'Field Technicians', 'Technical Maintenance', 'Domain Name System (DNS)']"
110,Officer,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Technical Maintenance', 'Industrial Equipment']"
111,Service Manager,"['AutoCAD', 'Service Delivery', 'Customer Service Management', 'PHP', 'Field Technicians']"
112,Agent,"['AutoCAD', 'PHP', 'Customer Service Representatives', 'Field Technicians', 'Technical Maintenance']"
113,Senior Analyst,"['Field Technicians', 'Technical Maintenance', 'Software Design', 'Software Industry', 'Equipment Repair']"
114,Executive,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Executive Team', 'Technical Maintenance']"
115,Information Technology Consultant,"['Field Technicians', 'Technical Maintenance', 'Enterprise Consulting', 'Accounting Consulting', 'Domain Name System (DNS)']"
116,Head,"['Software Infrastructure', 'E-Commerce', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
117,Creative Director,"['Digital Strategy', 'User Experience (UX)', 'PHP', 'WordPress', 'Field Technicians']"
118,Sales Executive,"['Visual Basic', 'AutoCAD', 'Oracle Database', 'PHP', 'Field Technicians']"
119,Director of Business Development,"['AutoCAD', 'Oracle Database', 'PHP', 'Medical Devices', 'Field Technicians']"
120,Operational Specialist,"['Visual Basic', 'AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance']"
121,Member,"['Software Infrastructure', 'Engineering', 'Membership Development', 'Field Technicians', 'Country Clubs']"
122,Design Engineer,"['PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'Electronics Design']"
123,Customer Service Specialist,"['Visual Basic', 'AutoCAD', 'Customer Support', 'Banking', 'Technical Support']"
124,Assistant Professor,"['Software Infrastructure', 'Higher Education Teaching', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
125,Associate Director,"['Software Infrastructure', 'Managing Associates', 'Director level', 'Engineering', 'Field Technicians']"
126,Unemployed,"['Software Infrastructure', 'Outplacement', 'Vacancies', 'Engineering', 'Field Technicians']"
127,Financial Director,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Electrical Wiring']"
128,Senior Associate,"['Software Infrastructure', 'Managing Associates', 'ASQ Senior Member', 'Engineering', 'Field Technicians']"
129,Key Account Manager,"['Visual Basic', 'AutoCAD', 'Key Account Acquisition & Retention', 'Oracle Database', 'E-Commerce']"
130,Broker,"['AutoCAD', 'Brokering', 'Freight Brokerage', 'Property and Casualty Insurance', 'Banking']"
131,Lead,"['Software Infrastructure', 'Leadership Management', 'Lead Certified', 'Engineering', 'Field Technicians']"
132,Database Administrator,"['AutoCAD', 'Database Consulting', 'ArcGIS Products', 'Oracle Database', 'PHP']"
133,Board Member,"['Board Level', 'E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance']"
134,Senior Account Manager,"['Visual Basic', 'Digital Strategy', 'PHP', 'Field Technicians', 'Technical Maintenance']"
135,Operator,"['Visual Basic', 'AutoCAD', 'PHP', 'Field Technicians', 'Heavy Equipment']"
136,Vice President of Sales,"['Visual Basic', 'E-Commerce', 'PHP', 'Medical Devices', 'Field Technicians']"
137,Lawyer,"['Field Technicians', 'Technical Maintenance', 'Legal Practice', 'Construction', 'Software Design']"
138,Photographer,"['Photography', 'Amateur Photography', 'Field Technicians', 'Technical Maintenance', 'Still Photography']"
139,Executive Vice President,"['Software Infrastructure', 'PHP', 'Engineering', 'Field Technicians', 'Executive Team']"
140,Finance Specialist,"['Visual Basic', 'AutoCAD', 'ArcGIS Products', 'Banking', 'PHP']"
141,Research Associate,"['AutoCAD', 'PHP', 'Research Collaboration', 'Field Technicians', 'Technical Maintenance']"
142,Receptionist,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Software Design']"
144,Freelance,"['Software Infrastructure', 'Gigs', 'Video', 'E-Commerce', 'Engineering']"
146,Senior Account Executive,"['Visual Basic', 'Digital Strategy', 'PHP', 'Field Technicians', 'Technical Maintenance']"
147,Sales Engineer,"['Visual Basic', 'PHP', 'Computer-Aided Design (CAD)', 'Session Initiation Protocol (SIP)', 'Field Technicians']"
148,Reporter,"['Search Engine Optimization (SEO)', 'Hard News Reporting', 'PHP', 'News Writing', 'Cameras']"
149,Auditor,"['Software Infrastructure', 'International Auditing', 'Engineering', 'Registered Auditor', 'Field Technicians']"
150,Network Administrator,"['AutoCAD', 'Network Services', 'PHP', 'Field Technicians', 'Technical Maintenance']"
151,District Manager,"['AutoCAD', 'Multi-Store Operations', 'District Management', 'Branch Management', 'Field Technicians']"
152,Store Manager,"['Software Infrastructure', 'Multi-Store Operations', 'Engineering', 'Field Technicians', 'Store Management']"
153,Chief Technology Officer,"['Technology Management', 'E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance']"
154,Managing Partner,"['Digital Strategy', 'E-Commerce', 'PHP', 'Field Technicians', 'Partner Relationship Management']"
155,Program Director,"['Software Infrastructure', 'PHP', 'Program Monitoring', 'Engineering', 'Field Technicians']"
156,Marketing Coordinator,"['AutoCAD', 'Search Engine Optimization (SEO)', 'ArcGIS Products', 'PHP', 'Field Technicians']"
157,Representative,"['Visual Basic', 'AutoCAD', 'Property and Casualty Insurance', 'PHP', 'Customer Service Representatives']"
158,Financial Advisor,"['Certified Financial Planner', 'Banking', 'PHP', 'Independent Financial Advice', 'Field Technicians']"
159,Coach,"['Software Infrastructure', 'Life Coaching', 'Coaching', 'Engineering', 'Field Technicians']"
160,Web Designer,"['AutoCAD', 'User Experience (UX)', 'E-Commerce', 'PHP', 'WordPress']"
161,Area Manager,"['AutoCAD', 'PHP', 'District Management', 'Field Technicians', 'Technical Maintenance']"
163,Director of Information Technology,"['Visual Basic', 'Director level', 'Information Technology Infrastructure', 'Technology Management', 'E-Commerce']"
164,Support Specialist,"['Visual Basic', 'AutoCAD', 'Customer Support', 'Technical Support', 'PHP']"
165,Sales Consultant,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'SalesPro']"
167,Employee,"['Field Technicians', 'Employee Rights', 'Accounting', 'Technical Maintenance', 'Employee Loyalty']"
168,Development Manager,"['Development Project Management', 'PHP', 'Development Coordination', 'Field Technicians', 'Software Product Management']"
169,Management,"['Software Infrastructure', 'Duty Management', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
170,Artist,"['PHP', 'Field Technicians', 'Studio Art', 'Technical Maintenance', 'Art']"
171,Technical Manager,"['Technology Management', 'PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Project Leadership']"
172,Paralegal,"['Visual Basic', 'AutoCAD', 'Immigration Law', 'Legal Administration', 'Field Technicians']"
173,Vice President Operations,"['Visual Basic', 'AutoCAD', 'Operations Administration', 'PHP', 'Commercial Operation']"
174,Engineering Manager,"['PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'Management Professional']"
175,Account Director,"['Digital Strategy', 'AutoCAD', 'Search Engine Optimization (SEO)', 'PHP', 'Field Technicians']"
176,Clerk,"['AutoCAD', 'General Office Work', 'Paperwork', 'Field Technicians', 'Accounting']"
177,Journalist,"['Search Engine Optimization (SEO)', 'Hard News Reporting', 'PHP', 'WordPress', 'Field Technicians']"
178,Associate Professor,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Technical Maintenance', 'University Lecturing']"
179,Marketing Assistant,"['AutoCAD', 'Search Engine Optimization (SEO)', 'PHP', 'Field Technicians', 'WordPress']"
180,Senior System Engineer,"['Field Technicians', 'Large Scale Systems', 'Technical Maintenance', 'Systems Management', 'Domain Name System (DNS)']"
181,Personal Assistant,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Personal Assistance']"
182,Principal Consultant,"['PHP', 'Field Technicians', 'Technical Maintenance', 'Consultancy Services', 'Consultative Services']"
183,Assistant Director,"['Software Infrastructure', 'Director level', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
184,Director of Sales Marketing,"['Director level', 'E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance']"
185,Process Engineer,"['Visual Basic', 'Boundaries (Land)', 'Methods Engineering', 'Computer-Aided Design (CAD)', 'C++']"
186,Technical Consultant,"['AutoCAD', 'Technical Consultation', 'PHP', 'Field Technicians', 'Technical Maintenance']"
187,Planner,"['Visual Basic', 'PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance']"
188,Nurse,"['Primary Care Nursing', 'Medical Devices', 'Field Technicians', 'Technical Maintenance', 'General Nursing']"
189,Technical Lead,"['Field Technicians', 'Technical Project Leadership', 'Technical Maintenance', 'Technical Leadership', 'IT Leadership']"
191,Senior Developer,"['Software Infrastructure', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians', 'Internet Software']"
192,Financial Controller,"['Visual Basic', 'AutoCAD', 'Banking', 'PHP', 'Field Technicians']"
193,Business Consultant,"['AutoCAD', 'Organizational Consulting', 'Banking', 'PHP', 'Field Technicians']"
194,Senior Business Analyst,"['Visual Basic', 'IT Business Analysis', 'Banking', 'PHP', 'Field Technicians']"
195,Co-Owner,"['Software Infrastructure', 'Business Ownership', 'E-Commerce', 'PHP', 'Engineering']"
196,Senior Accountant,"['Visual Basic', 'Year-End Accounting', 'PHP', 'Field Technicians', 'Accounting']"
197,Scientist,"['Real-Time Polymerase Chain Reaction (qPCR)', 'Field Technicians', 'Technical Maintenance', 'Physical Sciences', 'Reverse Transcription Polymerase Chain Reaction (RT-PCR)']"
198,Brand Manager,"['Digital Strategy', 'Brand Strategy', 'E-Commerce', 'Brand Activation', 'Field Technicians']"
199,Customer Service Manager,"['Visual Basic', 'AutoCAD', 'Support Management', 'Banking', 'Customer Service Management']"
200,Technical Director,"['Director level', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Technical Leadership']"
201,Counselor,"['Counselor Education', 'Field Technicians', 'Technical Maintenance', 'Software Design', 'Software Industry']"
202,Director of Development,"['Director level', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Donor Development']"
203,Chief Information Officer,"['Visual Basic', 'Python (Programming Language)', 'E-Commerce', 'PHP', 'Field Technicians']"
204,Solutions Architect,"['Visual Basic', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Solutions Engineering']"
205,Teaching Assistant,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Assistant Teaching', 'Technical Maintenance']"
206,Technical Writer,"['Visual Basic', 'AutoCAD', 'Python (Programming Language)', 'User Experience (UX)', 'PHP']"
207,Senior Financial Analyst,"['AutoCAD', 'ArcGIS Products', 'PHP', 'Technical Maintenance', 'Software Industry']"
208,Technical Support Specialist,"['Visual Basic', 'AutoCAD', 'Oracle Database', 'Technical Support', 'PHP']"
209,Quality Assurance Specialist,"['Administrative Organization', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Administration']"
210,Sales Marketing Manager,"['Software Infrastructure', 'Digital Strategy', 'Search Engine Optimization (SEO)', 'E-Commerce', 'PHP']"
211,Relationship Manager,"['Visual Basic', 'Banking', 'PHP', 'Field Technicians', 'Technical Maintenance']"
212,Regional Director,"['Director level', 'PHP', 'District Management', 'Field Technicians', 'Technical Maintenance']"
213,Project Director,"['Development Project Management', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Software Design']"
214,Management Consultant,"['Organizational Consulting', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Enterprise Consulting']"
215,Program Coordinator,"['Software Infrastructure', 'AutoCAD', 'PHP', 'Engineering', 'Field Technicians']"
216,Department Manager,"['Software Infrastructure', 'AutoCAD', 'Duty Management', 'Engineering', 'Field Technicians']"
219,Software Specialist,"['Software Infrastructure', 'Voice over IP (VoIP)', 'Engineering', 'Delphi', 'Field Technicians']"
221,Technology Specialist,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Solo Performance']"
222,Accounting Manager,"['Visual Basic', 'AutoCAD', 'Banking', 'PHP', 'Field Technicians']"
223,Territory Manager,"['Branch Banking Operations', 'AutoCAD', 'Medical Devices', 'Sales', 'Spine']"
224,Senior Director,"['Software Infrastructure', 'Director level', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
225,Area Sales Manager,"['Visual Basic', 'AutoCAD', 'Territory Account Management', 'PHP', 'Field Technicians']"
226,Sales And Marketing Specialist,"['Software Infrastructure', 'E-Commerce', 'PHP', 'Engineering', 'Field Technicians']"
227,Vice President Marketing,"['Digital Strategy', 'Search Engine Optimization (SEO)', 'PHP', 'Field Technicians', 'Technical Maintenance']"
228,System Manager,"['PHP', 'Field Technicians', 'Technical Maintenance', 'Systems Management', 'Software Design']"
229,Communications Specialist,"['Visual Basic', 'AutoCAD', 'Search Engine Optimization (SEO)', 'ArcGIS Products', 'PHP']"
230,Head of Department,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Technical Maintenance', 'Department Creation']"
231,Application Engineer,"['Visual Basic', 'PHP', 'Computer-Aided Design (CAD)', 'C++', 'Field Technicians']"
232,Mechanical Engineer,"['PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Equipment Design', 'Technical Maintenance']"
233,Entrepreneur,"['Entrepreneurship Education', 'Start-up Ventures', 'E-Commerce', 'PHP', 'Field Technicians']"
234,Server,"['AutoCAD', 'Banking', 'Field Technicians', 'Technical Maintenance', 'Accounting Consulting']"
235,National Account Manager,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Customer Relationship Management (CRM)']"
236,Legal Assistant,"['AutoCAD', 'Legal Administration', 'Field Technicians', 'Technical Maintenance', 'Personal Assistance']"
237,Sales Assistant,"['Software Infrastructure', 'AutoCAD', 'Voice over IP (VoIP)', 'Retail', 'Engineering']"
238,Training Specialist,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Software Design']"
239,Senior Designer,"['Board Level', 'User Experience (UX)', 'PHP', 'Computer-Aided Design (CAD)', 'Field Technicians']"
240,Division Manager,"['PHP', 'Field Technicians', 'Technical Maintenance', 'Management Professional', 'Construction']"
241,Webmaster,"['AutoCAD', 'Web Maintenance', 'Web Production Management', 'E-Commerce', 'PHP']"
243,Quality Assurance Manager,"['Quality Assurance Analysis', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Quality Management']"
245,Professional,"['Software Infrastructure', 'Professional Liability', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians']"
246,Cashier,"['Software Infrastructure', 'AutoCAD', 'Cash Register', 'Engineering', 'Field Technicians']"
247,Chef,"['AutoCAD', 'PHP', 'Field Technicians', 'Cooking', 'Technical Maintenance']"
248,Human Resources Consultant,"['Human Capital Management', 'HR Consulting', 'Organizational Consulting', 'PHP', 'Field Technicians']"
251,Translator,"['PHP', 'Translation', 'Field Technicians', 'Technical Maintenance', 'Website Translation']"
252,Research Analyst,"['Equity Research', 'Business Research', 'PHP', 'Field Technicians', 'Technical Maintenance']"
253,Senior System Analyst,"['Delphi', 'Field Technicians', 'Software System Analysis', 'Technical Maintenance', 'Information System Design']"
254,Purchasing Manager,"['Visual Basic', 'AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance']"
255,Staff Accountant,"['Visual Basic', 'AutoCAD', 'Year-End Accounting', 'Field Technicians', 'Accounting']"
256,Expert,"['Software Infrastructure', 'Consultation', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
257,Law Clerk,"['Capital Markets Advisory', 'Immigration Law', 'Public Markets', 'Capital Market Operations', 'Field Technicians']"
258,Loan Officer,"['Visual Basic', 'AutoCAD', 'Banking', 'PHP', 'Field Technicians']"
259,Vice President Sales Marketing,"['Digital Strategy', 'AutoCAD', 'E-Commerce', 'PHP', 'Field Technicians']"
260,Training Manager,"['PHP', 'Field Technicians', 'Technical Maintenance', 'New Hire Training', 'Software Design']"
261,Vice President of Business Development,"['AutoCAD', 'Oracle Database', 'PHP', 'Field Technicians', 'Cooking']"
262,Staff,"['Software Infrastructure', 'Support Services', 'Engineering', 'Project Staffing', 'Executive Staffing']"
263,National Sales Manager,"['Visual Basic', 'AutoCAD', 'PHP', 'Field Technicians', 'Agile Methodologies']"
264,Test Engineer,"['Visual Basic', 'PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Radio Frequency (RF)']"
265,Commercial Manager,"['AutoCAD', 'Oracle Database', 'PHP', 'Commercial Operation', 'Field Technicians']"
266,Application Developer,"['Software Infrastructure', 'Application Architecture', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians']"
267,Captain,"['Sailing', 'Field Technicians', 'Technical Maintenance', 'Maritime Safety', 'Cockpit']"
268,Recruitment Consultant,"['Vacancies', 'PHP', 'Field Technicians', 'Corporate Recruiting', 'Technical Maintenance']"
269,Director of Communications,"['Digital Strategy', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Internal and External Communications']"
270,Senior Product Manager,"['E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance', 'Clinical Research Experience']"
271,Human Resources Generalist,"['AutoCAD', 'ADP Payroll', 'PHP', 'Field Technicians', 'Global Human Resources Management']"
272,Driver,"['AutoCAD', 'PHP', 'Field Technicians', 'Technical Maintenance', 'SOLIDWORKS']"
273,Copywriter,"['Digital Strategy', 'AutoCAD', 'Search Engine Optimization (SEO)', 'PHP', 'Field Technicians']"
274,Health Specialist,"['Medical Devices', 'Field Technicians', 'Technical Maintenance', 'Software Design', 'Software Industry']"
276,Librarian,"['AutoCAD', 'ArcGIS Products', 'Library Systems', 'PHP', 'WordPress']"
277,Marketing Intern,"['AutoCAD', 'PHP', 'Advertising', 'WordPress', 'Field Technicians']"
278,Group Manager,"['Software Infrastructure', 'Group Management', 'Engineering', 'Field Technicians', 'Management Professional']"
279,Marketing Consultant,"['Visual Basic', 'Digital Strategy', 'AutoCAD', 'Search Engine Optimization (SEO)', 'E-Commerce']"
280,Chief Operating Officer,"['Visual Basic', 'AutoCAD', 'E-Commerce', 'PHP', 'Field Technicians']"
281,Member of Technical Staff,"['Software Infrastructure', 'Technical Staff Management', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians']"
282,SAP Consultant,"['AutoCAD', 'Certified SAP Consultant', 'SAP Implementation', 'Field Technicians', 'Technical Maintenance']"
283,Security Professional,"['Security Consulting', 'Software Infrastructure', 'Protection Systems', 'Private Security', 'Engineering']"
284,Office Assistant,"['AutoCAD', 'General Office Work', 'PHP', 'WordPress', 'Field Technicians']"
285,Summer Intern,"['Software Infrastructure', 'AutoCAD', 'CAD Tools', 'AEC', 'Engineering']"
286,Retired,"['Software Infrastructure', 'Retirement Homes', 'Public Safety', 'Engineering', 'Field Technicians']"
287,Public Relations Specialist,"['Search Engine Optimization (SEO)', 'Public Affairs', 'PHP', 'WordPress', 'Field Technicians']"
288,Research Scientist,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Technical Maintenance', 'Industrial Equipment']"
289,Country Manager,"['Software Infrastructure', 'International Management', 'Country Management', 'E-Commerce', 'Engineering']"
290,Production Specialist,"['Visual Basic', 'AutoCAD', 'PHP', 'Production Management', 'Field Technicians']"
291,Principal Engineer,"['Software Infrastructure', 'System Control', 'Engineering', 'Field Technicians', 'Control Engineering']"
292,Quality Assurance Engineer,"['Visual Basic', 'Python (Programming Language)', 'Direct Taxation', 'Oracle Database', 'PHP']"
293,Electrical Engineer,"['Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'Analog Circuit Design', 'Electronics Design']"
294,Production Assistant,"['AutoCAD', 'Technical Production', 'Field Production', 'PHP', 'Field Technicians']"
295,Treasurer,"['Visual Basic', 'AutoCAD', 'Exchequer', 'Banking', 'PHP']"
296,Logistics Manager,"['AutoCAD', 'PHP', 'Field Technicians', 'Freight Management', 'Technical Maintenance']"
297,Marketing Executive,"['AutoCAD', 'E-Commerce', 'PHP', 'Advertising', 'WordPress']"
298,PHD,"['Software Infrastructure', 'Diplomas', 'Higher Education Research', 'Scholarly Research', 'Engineering']"
299,Associate Broker,"['AutoCAD', 'Property and Casualty Insurance', 'PHP', 'Field Technicians', 'Technical Maintenance']"
300,Human Resources Assistant,"['AutoCAD', 'ADP Payroll', 'HR Start-up', 'Field Technicians', 'Technical Maintenance']"
302,Independent Consultant,"['Field Technicians', 'Technical Maintenance', 'Accounting Consulting', 'Consultancy Services', 'Software Design']"
303,Plant Manager,"['AutoCAD', 'PHP', 'Production Management', 'Field Technicians', 'Technical Maintenance']"
304,Medical Specialist,"['Medical-Surgical', 'Field Technicians', 'Technical Maintenance', 'Ortho', 'Emergency Medical Services (EMS)']"
305,Quality Engineer,"['Visual Basic', 'Quality Inspection', 'PHP', 'Computer-Aided Design (CAD)', 'PTC Creo']"
306,Portfolio Manager,"['Fund Management', 'Corporate Portfolio Management', 'Banking', 'PHP', 'Field Technicians']"
307,Tutor,"['Software Infrastructure', 'One-on-one Instruction', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
308,Senior,"['Software Infrastructure', 'Titles', 'ASQ Senior Member', 'Engineering', 'Field Technicians']"
309,Associate Consultant,"['Field Technicians', 'Technical Maintenance', 'Accounting Consulting', 'Consultant Liaison', 'Consultancy Services']"
310,Support Engineer,"['Visual Basic', 'AutoCAD', 'Field Service Engineering', 'VMWare ESXi', 'Technical Support']"
311,District Sales Manager,"['District Management', 'Field Technicians', 'Technical Maintenance', 'Construction', 'Software Design']"
312,Manufacturing Engineer,"['AutoCAD', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'SOLIDWORKS']"
313,Information Technology Project Manager,"['PHP', 'Information Systems Project Management', 'Field Technicians', 'Technical Maintenance', 'Software Design']"
314,Bookkeeper,"['AutoCAD', 'PHP', 'Field Technicians', 'Accounting', 'Technical Maintenance']"
315,Product Specialist,"['Visual Basic', 'AutoCAD', 'Consumer Products', 'E-Commerce', 'PHP']"
316,Strategist,"['Digital Strategy', 'Brand Strategy', 'Strategising', 'E-Commerce', 'Field Technicians']"
317,Commercial Director,"['Visual Basic', 'Digital Strategy', 'AutoCAD', 'Director level', 'E-Commerce']"
318,System Developer,"['Software Infrastructure', 'M&A Integration', 'Strategic M&A', 'M&A analysis', 'Voice over IP (VoIP)']"
